,date,city_code,PM2.5,BC,OM,SO4,NO3,NH4,cl
1083,2013/8/5,1001,39.56664,2.166034,16.90725,12.49849,5.028555,7.303943,2.966312
1088,2013/8/6,1001,59.63204,2.739791,26.92619,18.7322,9.007101,10.78244,2.226755
1093,2013/8/7,1001,41.75503,2.040465,21.30374,9.775521,5.721065,7.471499,2.914238
1098,2013/8/8,1001,27.2863,1.58657,15.27761,5.446312,3.783999,4.149545,1.191807
1103,2013/8/9,1001,26.64643,1.587549,13.32508,6.781218,3.807649,4.166349,1.144936
1108,2013/8/10,1001,34.96545,2.022434,14.65216,11.23557,4.571357,6.166101,2.483927
1113,2013/8/11,1001,62.40846,2.633572,29.55202,17.72784,10.24045,11.17005,2.254575
1118,2013/8/12,1001,38.57479,1.939359,17.89738,9.850372,6.763018,7.119221,2.124661
1123,2013/8/13,1001,36.24668,2.015685,15.8556,10.3727,5.499759,6.855111,2.502938
1128,2013/8/14,1001,58.21436,2.535116,25.29129,18.75372,9.195665,10.64851,2.438564
1133,2013/8/15,1001,61.43782,2.759416,26.52496,20.11407,9.643557,10.8766,2.395813
1138,2013/8/16,1001,63.77561,2.689077,29.95852,18.41714,10.54404,11.89884,2.166831
1143,2013/8/17,1001,23.16467,1.396685,12.7898,4.922141,3.108846,3.439532,0.9471988
1148,2013/8/18,1001,20.59053,1.089574,11.70313,3.941027,2.994029,3.061,0.8627715
1153,2013/8/19,1001,22.56229,1.223888,12.94177,4.156092,3.302774,3.429379,0.9377673
1158,2013/8/20,1001,29.10832,1.561484,15.93312,5.958251,4.29342,4.500697,1.362046
1163,2013/8/21,1001,30.48894,1.733535,16.3196,6.266716,4.369042,4.972202,1.800045
1168,2013/8/22,1001,26.65712,1.507138,14.94283,4.811863,4.268692,4.479834,1.126596
1173,2013/8/23,1001,21.77054,1.287685,11.85723,4.2574,3.524126,3.458782,0.8441006
1178,2013/8/24,1001,21.27664,1.280978,11.2868,4.387374,3.490389,3.392242,0.8310951
1183,2013/8/25,1001,24.39643,1.48753,12.55499,5.03023,4.32355,4.412563,1.00013
1188,2013/8/26,1001,24.56087,1.397771,12.54054,5.907849,3.707574,3.831298,1.007141
1193,2013/8/27,1001,49.88125,2.496047,21.08898,14.06389,9.766573,9.043053,2.465763
1198,2013/8/28,1001,41.0173,2.057922,17.36006,11.49526,7.908446,7.805071,2.195615
1203,2013/8/29,1001,19.76371,1.146561,10.14912,4.240251,3.314946,3.16003,0.9128341
1208,2013/8/30,1001,18.72776,1.031196,11.12674,3.047025,2.597491,2.393341,0.9253097
1213,2013/8/31,1001,19.80241,1.222354,11.68729,3.159743,2.829523,2.699354,0.9035048
1218,2013/9/1,1001,19.82673,1.187395,11.51745,3.288644,2.903709,2.598787,0.9295284
1223,2013/9/2,1001,20.11306,1.236902,11.5906,3.31394,3.016741,2.75174,0.9548724
1228,2013/9/3,1001,20.59986,1.314429,11.79986,3.395077,3.14459,2.692213,0.9459017
1233,2013/9/4,1001,28.09124,1.70905,14.70851,5.608063,4.867531,4.347802,1.198084
1238,2013/9/5,1001,39.70709,2.157214,19.85561,8.161602,7.948136,6.998457,1.584527
1243,2013/9/6,1001,24.22409,1.501653,13.27379,4.516281,3.902104,3.789566,1.030266
1248,2013/9/7,1001,23.70971,1.468906,12.64648,4.770657,3.83089,3.646881,0.9927791
